date,value
2021-03-05,2809465.2234999975
2021-03-06,2809465.2234999975
2021-03-07,2809465.2234999975
2021-03-08,2769522.000799999
2021-03-09,3074399.1921999995
2021-03-10,3064597.512992999
2021-03-11,3386206.257699999
2021-03-12,3416244.4584000004
2021-03-13,3416244.4584000004
2021-03-14,3416244.4584000004
2021-03-15,3481170.3163
2021-03-16,3277656.0278
2021-03-17,3426765.452199999
2021-03-18,3243681.5152999996
2021-03-19,3291094.601800002
2021-03-20,3291094.601800002
2021-03-21,3291094.601800002
2021-03-22,3143138.224
2021-03-23,2945411.9699000013
2021-03-24,2757361.5278
2021-03-25,2864812.994799999
2021-03-26,2796433.924200002
2021-03-27,2796433.924200002
2021-03-28,2796433.924200002
2021-03-29,2736250.671500001
2021-03-30,2787616.6929
2021-03-31,2804701.947100001
2021-04-01,2831419.578100002
2021-04-02,2831419.578100002
2021-04-03,2831419.578100002
2021-04-04,2831419.578100002
2021-04-05,2846802.7367000002
2021-04-06,2799691.5012000008
2021-04-07,2761999.0003000004
2021-04-08,2777771.803400001
2021-04-09,2749347.924799999
2021-04-10,2749347.924799999
2021-04-11,2749347.924799999
2021-04-12,2696779.509900001
2021-04-13,2702150.9646
2021-04-14,2689703.9755
2021-04-15,2694476.9872999983
2021-04-16,2679812.3742000004
2021-04-17,2679812.3742000004
2021-04-18,2679812.3742000004
2021-04-19,2660009.6599
2021-04-20,2614883.3926
2021-04-21,2690170.1204999993
2021-04-22,2701597.741199998
2021-04-23,2763669.0240000007
2021-04-24,2763669.0240000007
2021-04-25,2763669.0240000007
2021-04-26,2942588.7430000016
2021-04-27,2871119.7319000014
2021-04-28,2900221.2029999993
2021-04-29,2856278.066700002
2021-04-30,2807733.7715000017
2021-05-01,2807733.7715000017
2021-05-02,2807733.7715000017
2021-05-03,2876884.77
2021-05-04,2762182.603700001
2021-05-05,2711162.0884999987
2021-05-06,2667182.671800002
2021-05-07,2693706.4632000006
2021-05-08,2693706.4632000006
2021-05-09,2693706.4632000006
2021-05-10,2680528.18
2021-05-11,2658553.191300002
2021-05-12,2573223.3052999997
2021-05-13,2587284.4483000003
2021-05-14,2636018.207400001
2021-05-15,2636018.207400001
2021-05-16,2636018.207400001
2021-05-17,2683436.4242
2021-05-18,2674149.4329000013
2021-05-19,2637302.6729
2021-05-20,2644082.141099999
2021-05-21,2647859.414600001
2021-05-22,2647859.414600001
2021-05-23,2647859.414600001
2021-05-24,2679007.1210000007
2021-05-25,2643504.3571000015
2021-05-26,2683770.704199999
2021-05-27,2762675.824900001
2021-05-28,2768033.4094000007
2021-05-29,2768033.4094000007
2021-05-30,2768033.4094000007
2021-05-31,2768033.4094000007
2021-06-01,2891608.1772999996
2021-06-02,3144364.8737
2021-06-03,3059605.3271999992
2021-06-04,3066237.0034
2021-06-05,3066237.0034
2021-06-06,3066237.0034
2021-06-07,3246484.4432000034
2021-06-08,3260482.8469999996
