date,value
2020-12-28,1697163.4050999982
2020-12-29,1681509.2035999976
2020-12-30,1711413.834899998
2020-12-31,1709448.4962999972
2021-01-01,1709448.4962999972
2021-01-02,1709448.4962999972
2021-01-03,1709448.4962999972
2021-01-04,1736173.6114999973
2021-01-05,1806899.9249999975
2021-01-06,1837221.2916999983
2021-01-07,1885415.7358999988
2021-01-08,1888958.9556999994
2021-01-09,1888958.9556999994
2021-01-10,1888958.9556999994
2021-01-11,1890702.1117000002
2021-01-12,1913729.227799999
2021-01-13,1912891.4030999988
2021-01-14,1943639.3372999988
2021-01-15,1890327.833999999
2021-01-16,1890327.833999999
2021-01-17,1890327.833999999
2021-01-18,1890327.833999999
2021-01-19,1963042.9575999994
2021-01-20,1993885.5255999982
2021-01-21,1994440.7576999983
2021-01-22,2006249.5813999986
2021-01-23,2006249.5813999986
2021-01-24,2006249.5813999986
2021-01-25,2016443.6820999987
2021-01-26,2023554.6923999975
2021-01-27,2047944.618199997
2021-01-28,2078376.2265999978
2021-01-29,2054504.6543999987
2021-01-30,2054504.6543999987
2021-01-31,2054504.6543999987
2021-02-01,2122031.9055999983
2021-02-02,2162972.9537999993
2021-02-03,2191715.262499999
2021-02-04,2214963.5083999955
2021-02-05,2248782.5187999965
2021-02-06,2248782.5187999965
2021-02-07,2248782.5187999965
2021-02-08,2364822.5928999963
2021-02-09,2401174.107299995
2021-02-10,2418797.8186999923
2021-02-11,2439193.1340999953
2021-02-12,2467444.1532999948
2021-02-13,2467444.1532999948
2021-02-14,2467444.1532999948
2021-02-15,2467444.1532999948
2021-02-16,2499971.552899996
2021-02-17,2459740.558599997
2021-02-18,2403802.283799996
2021-02-19,2451828.571699995
2021-02-20,2451828.571699995
2021-02-21,2451828.571699995
2021-02-22,2429643.0489999973
2021-02-23,2391158.488299998
2021-02-24,2457836.5202999986
2021-02-25,2367880.5995
2021-02-26,2349166.182000001
2021-02-27,2349166.182000001
2021-02-28,2349166.182000001
2021-03-01,2420787.1193999997
2021-03-02,2408972.0550000016
2021-03-03,2353766.1310999994
2021-03-04,2266781.3417000007
2021-03-05,2290693.5743999984
2021-03-06,2290693.5743999984
2021-03-07,2290693.5743999984
2021-03-08,2262333.563499999
2021-03-09,2334266.509899998
2021-03-10,2346728.859999999
2021-03-11,2421201.4240999967
2021-03-12,2437871.150299997
2021-03-13,2437871.150299997
2021-03-14,2437871.150299997
2021-03-15,2467849.2609999944
2021-03-16,2428163.8805999956
2021-03-17,2450898.2877999917
2021-03-18,2377451.5662999926
2021-03-19,2408902.642599994
2021-03-20,2408902.642599994
2021-03-21,2408902.642599994
2021-03-22,2405886.4257999957
2021-03-23,2347946.5853999946
2021-03-24,2279539.587999995
2021-03-25,2320406.1034999937
2021-03-26,2356128.981399994
2021-03-27,2356128.981399994
2021-03-28,2356128.981399994
2021-03-29,2313170.496899993
2021-03-30,2348280.8918999936
2021-03-31,2404027.6598999943
2021-04-01,2447431.5332999923
2021-04-02,2447431.5332999923
2021-04-03,2447431.5332999923
2021-04-04,2447431.5332999923
2021-04-05,2475176.385399994
2021-04-06,2469585.862099993
2021-04-07,2453012.2685999935
2021-04-08,2481486.9634999908
2021-04-09,2467336.117399991
2021-04-10,2467336.117399991
2021-04-11,2467336.117399991
2021-04-12,2425184.3835999914
2021-04-13,2438215.8018999933
2021-04-14,2437306.650099992
2021-04-15,2431978.861199992
2021-04-16,2439131.6750999945
2021-04-17,2439131.6750999945
2021-04-18,2439131.6750999945
2021-04-19,2423247.7525999923
2021-04-20,2390458.7575999917
2021-04-21,2477234.575999992
2021-04-22,2478046.9053999917
2021-04-23,2519885.4221999915
2021-04-24,2519885.4221999915
2021-04-25,2519885.4221999915
2021-04-26,2564573.53249999
2021-04-27,2558726.228899991
2021-04-28,2571700.4056999907
2021-04-29,2539337.3604999906
2021-04-30,2513764.7715999903
2021-05-01,2513764.7715999903
2021-05-02,2513764.7715999903
2021-05-03,2512479.1595999883
2021-05-04,2470595.512799988
2021-05-05,2479473.0882999864
2021-05-06,2480190.862999986
2021-05-07,2515704.4008999867
2021-05-08,2515704.4008999867
2021-05-09,2515704.4008999867
2021-05-10,2441443.7893999876
2021-05-11,2412539.780199988
2021-05-12,2334686.5527999876
2021-05-13,2325464.542699987
2021-05-14,2410896.1510999864
2021-05-15,2410896.1510999864
2021-05-16,2410896.1510999864
2021-05-17,2416969.627199988
2021-05-18,2407716.795799986
2021-05-19,2397543.370899987
2021-05-20,2442400.0702999867
2021-05-21,2445432.279199986
2021-05-22,2445432.279199986
2021-05-23,2445432.279199986
2021-05-24,2468596.093599986
2021-05-25,2469213.527599985
2021-05-26,2518147.8181999866
2021-05-27,2574539.145499986
2021-05-28,2568452.2024999876
2021-05-29,2568452.2024999876
2021-05-30,2568452.2024999876
2021-05-31,2568452.2024999876
2021-06-01,2626815.864499989
2021-06-02,2658252.7434999878
2021-06-03,2657756.2541999873
2021-06-04,2680982.0841999864
2021-06-05,2680982.0841999864
2021-06-06,2680982.0841999864
2021-06-07,2712731.2632999867
2021-06-08,2732727.2315999875
2021-06-09,2753727.524699987
2021-06-10,2755343.729299987
2021-06-11,2785170.5876999884
2021-06-12,2785170.5876999884
2021-06-13,2785170.5876999884
2021-06-14,2795425.4109999896
2021-06-15,2755486.7838999894
2021-06-16,2743167.4119999893
2021-06-17,2739278.049999988
2021-06-18,2698690.430699988
2021-06-19,2698690.430699988
2021-06-20,2698690.430699988
2021-06-21,2734371.286199988
2021-06-22,2731985.3721999894
2021-06-23,2749926.30989999
2021-06-24,2790468.31379999
2021-06-25,2798853.7228999864
2021-06-26,2798853.7228999864
2021-06-27,2798853.7228999864
2021-06-28,2804122.464599985
2021-06-29,2797770.1440999857
2021-06-30,2790983.7095999857
2021-07-01,2789417.586599985
2021-07-02,2785867.7014999874
2021-07-03,2785867.7014999874
2021-07-04,2785867.7014999874
2021-07-05,2785867.7014999874
2021-07-06,2740909.127299987
2021-07-07,2698950.926799987
2021-07-08,2683163.678399986
2021-07-09,2721619.3821999864
2021-07-10,2721619.3821999864
2021-07-11,2721619.3821999864
2021-07-12,2715566.1547999866
2021-07-13,2685046.193899987
2021-07-14,2655526.637999985
2021-07-15,2651968.9754999857
2021-07-16,2595538.793499986
2021-07-17,2595538.793499986
2021-07-18,2595538.793499986
2021-07-19,2567078.529399987
2021-07-20,2611577.445399986
2021-07-21,2682920.962599987
2021-07-22,2640423.757499985
2021-07-23,2633659.0180999865
2021-07-24,2633659.0180999865
2021-07-25,2633659.0180999865
2021-07-26,2654034.3822999867
2021-07-27,2616110.5763999843
2021-07-28,2667128.7502999846
2021-07-29,2658504.2685999875
2021-07-30,2616644.206399988
2021-07-31,2616644.206399988
2021-08-01,2616644.206399988
2021-08-02,2617724.7799999886
2021-08-03,2632202.8325999915
2021-08-04,2619457.7154999897
2021-08-05,2659954.1095999894
2021-08-06,2658910.5754999914
2021-08-07,2658910.5754999914
2021-08-08,2658910.5754999914
2021-08-09,2677029.222599992
2021-08-10,2693418.967299994
2021-08-11,2690217.9289999926
2021-08-12,2671803.3882999932
2021-08-13,2657036.903699993
2021-08-14,2657036.903699993
2021-08-15,2657036.903699993
2021-08-16,2628219.827599991
2021-08-17,2611860.76479999
2021-08-18,2590448.8878999893
2021-08-19,2553460.135899989
2021-08-20,2589388.8175999904
2021-08-21,2589388.8175999904
2021-08-22,2589388.8175999904
2021-08-23,2663443.7969999933
2021-08-24,2711487.2354999934
2021-08-25,2721686.3474999936
2021-08-26,2695420.3832999915
2021-08-27,2747954.712899992
2021-08-28,2747954.712899992
2021-08-29,2747954.712899992
2021-08-30,2727396.210699989
2021-08-31,2743013.38439999
2021-09-01,2747167.9530999903
2021-09-02,2769878.73119999
2021-09-03,2772836.6045999913
2021-09-04,2772836.6045999913
2021-09-05,2772836.6045999913
2021-09-06,2772836.6045999913
2021-09-07,2755339.4360999907
2021-09-08,2698705.7759999894
2021-09-09,2724280.3289999883
2021-09-10,2710634.762599989
2021-09-11,2710634.762599989
2021-09-12,2710634.762599989
2021-09-13,2706616.0084999874
2021-09-14,2673094.515999989
2021-09-15,2706689.241799989
2021-09-16,2684009.6613999903
2021-09-17,2666852.1115999897
2021-09-18,2666852.1115999897
2021-09-19,2666852.1115999897
2021-09-20,2581417.4507999886
2021-09-21,2584404.573199987
2021-09-22,2629799.1496999883
2021-09-23,2679263.0311999866
2021-09-24,2642626.521399986
2021-09-25,2642626.521399986
2021-09-26,2642626.521399986
2021-09-27,2667473.3325999854
2021-09-28,2602509.255099985
2021-09-29,2562950.0241999864
2021-09-30,2580349.024999987
2021-10-01,2614483.001399984
2021-10-02,2614483.001399984
2021-10-03,2614483.001399984
2021-10-04,2574906.1333999857
2021-10-05,2588799.640499984
2021-10-06,2581358.542899987
2021-10-07,2624646.808499986
2021-10-08,2615236.7334999843
2021-10-09,2615236.7334999843
2021-10-10,2615236.7334999843
2021-10-11,2619958.744399985
2021-10-12,2631531.3708999865
2021-10-13,2664962.9902999876
2021-10-14,2676531.0991999875
2021-10-15,2689867.7598999883
2021-10-16,2689867.7598999883
