date,value
2021-01-06,1449692.0705069941
2021-01-07,1489192.5520069937
2021-01-08,1496982.874406994
2021-01-09,1496982.8744069943
2021-01-10,1496982.8744069946
2021-01-11,1495113.2370069944
2021-01-12,1518531.6633069948
2021-01-13,1528301.4423069952
2021-01-14,1552557.6298069935
2021-01-15,1524075.8390069962
2021-01-16,1524075.8390069962
2021-01-17,1524075.8390069962
2021-01-18,1524075.8390069962
2021-01-19,1564764.3928069968
2021-01-20,1572991.3470069962
2021-01-21,1571518.6029069948
2021-01-22,1579970.4567069954
2021-01-23,1579970.4567069954
2021-01-24,1579970.4567069958
2021-01-25,1600925.9382069954
2021-01-26,1602733.5954069952
2021-01-27,1589315.0801069934
2021-01-28,1601021.6895069939
2021-01-29,1588074.7216069943
2021-01-30,1588074.7216069943
2021-01-31,1588074.7216069943
2021-02-01,1649264.7250069971
2021-02-02,1678166.703506997
2021-02-03,1710553.6456069972
2021-02-04,1732084.5128069974
2021-02-05,1753963.7426069975
2021-02-06,1753963.7426069973
2021-02-07,1753963.742606997
2021-02-08,1827797.1271069979
2021-02-09,1848017.7227069968
2021-02-10,1853133.6322069978
2021-02-11,1856813.9044069983
2021-02-12,1877588.0691069984
2021-02-13,1877588.0691069982
2021-02-14,1877588.069106998
2021-02-15,1877588.0691069977
2021-02-16,1892777.8235069981
2021-02-17,1873659.9514069993
2021-02-18,1829429.5059069972
2021-02-19,1861746.807606998
2021-02-20,1861746.807606998
2021-02-21,1861746.807606998
2021-02-22,1834928.3173069991
2021-02-23,1811589.1149069986
2021-02-24,1854121.8684069982
2021-02-25,1783743.8021069989
2021-02-26,1770836.8213069974
2021-02-27,1770836.8213069974
2021-02-28,1770836.8213069974
2021-03-01,1819078.0909069958
2021-03-02,1802466.0732069965
2021-03-03,1770963.2239069976
2021-03-04,1714282.9002069957
2021-03-05,1732241.0973069954
2021-03-06,1732241.0973069954
2021-03-07,1732241.0973069954
2021-03-08,1710410.3180069956
2021-03-09,1782604.3849069919
2021-03-10,1799917.5735489915
2021-03-11,1862063.4568069924
2021-03-12,1868777.1269069915
2021-03-13,1868777.1269069912
2021-03-14,1868777.126906991
2021-03-15,1891632.075806992
2021-03-16,1861782.5411069929
2021-03-17,1885367.037006995
2021-03-18,1826711.892106992
2021-03-19,1844853.827406993
2021-03-20,1844853.8274069927
2021-03-21,1844853.8274069924
2021-03-22,1837612.6088069929
2021-03-23,1781985.9888069942
2021-03-24,1735686.8144069924
2021-03-25,1761434.6734069916
2021-03-26,1783450.129106991
2021-03-27,1783450.129106991
2021-03-28,1783450.1291069905
2021-03-29,1752882.2696069907
2021-03-30,1770591.3996069916
2021-03-31,1799596.0610069921
2021-04-01,1821983.7558069932
2021-04-02,1821983.7558069935
